TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
Students  Active                                                                                                                           bit                                                                                                                                                  NULL NO         
Students  EnrollmentDate                                                                                                                   datetime2                                                                                                                                            NULL YES        
Students  AMRoute                                                                                                                          nvarchar                                                                                                                                               50 YES        
Students  PMRoute                                                                                                                          nvarchar                                                                                                                                               50 YES        
Students  BusStop                                                                                                                          nvarchar                                                                                                                                               50 YES        
Students  Allergies                                                                                                                        nvarchar                                                                                                                                              200 YES        
Students  AlternativeContact                                                                                                               nvarchar                                                                                                                                              100 YES        
Students  AlternativePhone                                                                                                                 nvarchar                                                                                                                                               20 YES        
Students  CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Students  CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL NO         
Students  DateOfBirth                                                                                                                      datetime2                                                                                                                                            NULL YES        
Students  DoctorName                                                                                                                       nvarchar                                                                                                                                              100 YES        
Students  DoctorPhone                                                                                                                      nvarchar                                                                                                                                               20 YES        
Students  DropoffAddress                                                                                                                   nvarchar                                                                                                                                              200 YES        
Students  FieldTripPermission                                                                                                              bit                                                                                                                                                  NULL NO         
Students  Gender                                                                                                                           nvarchar                                                                                                                                               10 YES        
Students  Medications                                                                                                                      nvarchar                                                                                                                                              200 YES        
Students  PhotoPermission                                                                                                                  bit                                                                                                                                                  NULL NO         
Students  PickupAddress                                                                                                                    nvarchar                                                                                                                                              200 YES        
Students  SpecialAccommodations                                                                                                            nvarchar                                                                                                                                             1000 YES        
Students  SpecialNeeds                                                                                                                     bit                                                                                                                                                  NULL NO         
Students  UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Students  UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        

(37 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Tickets   TicketId                                                                                                                         int                                                                                                                                                  NULL NO         
Tickets   StudentId                                                                                                                        int                                                                                                                                                  NULL NO         
Tickets   RouteId                                                                                                                          int                                                                                                                                                  NULL NO         
Tickets   TravelDate                                                                                                                       date                                                                                                                                                 NULL NO         
Tickets   IssuedDate                                                                                                                       datetime2                                                                                                                                            NULL NO         
Tickets   TicketType                                                                                                                       nvarchar                                                                                                                                               20 NO         
Tickets   Price                                                                                                                            decimal                                                                                                                                              NULL NO         
Tickets   Status                                                                                                                           nvarchar                                                                                                                                               20 NO         
Tickets   PaymentMethod                                                                                                                    nvarchar                                                                                                                                               30 NO         
Tickets   QRCode                                                                                                                           nvarchar                                                                                                                                               50 NO         
Tickets   Notes                                                                                                                            nvarchar                                                                                                                                              500 YES        
Tickets   ValidFrom                                                                                                                        datetime2                                                                                                                                            NULL YES        
Tickets   ValidUntil                                                                                                                       datetime2                                                                                                                                            NULL YES        
Tickets   IsRefundable                                                                                                                     bit                                                                                                                                                  NULL NO         
Tickets   RefundAmount                                                                                                                     decimal                                                                                                                                              NULL YES        
Tickets   UsedDate                                                                                                                         datetime2                                                                                                                                            NULL YES        
Tickets   UsedByDriver                                                                                                                     nvarchar                                                                                                                                              100 YES        
Tickets   Id                                                                                                                               int                                                                                                                                                  NULL NO         
Tickets   CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL NO         
Tickets   UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Tickets   CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Tickets   UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
